event_id,geom_strike_err,geom_dip_err,geom_rake_err,source_strike_err,source_dip_err,source_rake_err,delta_strike_geom_minus_source,delta_dip_geom_minus_source,delta_rake_geom_minus_source,delta_sum_geom_minus_source
ev_001252,2.9139795303344727,1.1087474822998047,32.21042251586914,2.773580312728882,2.001070976257324,17.21042251586914,0.14039921760559082,-0.8923234939575195,15.0,14.248077392578125
ev_001253,10.316961288452148,0.1755007654428482,6.72952938079834,10.316961288452148,0.1755007654428482,6.72952938079834,0.0,0.0,0.0,0.0
ev_001254,9.301932334899902,1.4178285598754883,7.2509379386901855,9.301932334899902,1.4178285598754883,7.2509379386901855,0.0,0.0,0.0,0.0
ev_001255,6.59069299697876,4.272261619567871,12.772540092468262,6.954081058502197,2.7472891807556152,9.108930587768555,-0.3633880615234375,1.5249724388122559,3.663609504699707,4.825193405151367
ev_001256,3.4965567588806152,3.9867851734161377,97.94564056396484,3.4965567588806152,3.9867851734161377,97.94564056396484,0.0,0.0,0.0,0.0
ev_001257,1.1412768363952637,2.6502063274383545,4.009578227996826,1.1412768363952637,2.6502063274383545,4.009578227996826,0.0,0.0,0.0,0.0
ev_001258,10.232149124145508,2.960810661315918,24.756032943725586,9.868757247924805,0.6336958408355713,9.75603199005127,0.3633918762207031,2.3271148204803467,15.000000953674316,17.690509796142578
ev_001259,0.7509222030639648,3.648712158203125,13.842060089111328,0.7509222030639648,3.648712158203125,13.842060089111328,0.0,0.0,0.0,0.0
ev_001260,0.9257289171218872,2.2312958240509033,17.1094970703125,0.9257289171218872,2.2312958240509033,17.1094970703125,0.0,0.0,0.0,0.0
ev_001261,5.984708309173584,0.292856901884079,5.701169967651367,3.877187490463257,2.8169615268707275,2.5985424518585205,2.107520818710327,-2.524104595184326,3.1026275157928467,2.6860437393188477
ev_001262,5.481734752655029,1.8359345197677612,8.834648132324219,5.481734752655029,1.8359345197677612,8.834648132324219,0.0,0.0,0.0,0.0
ev_001263,2.2087361812591553,2.957998275756836,1.0740864276885986,2.2087361812591553,2.957998275756836,1.0740864276885986,0.0,0.0,0.0,0.0
ev_001264,5.387372970581055,4.5624098777771,2.4294791221618652,5.387372970581055,4.5624098777771,2.4294791221618652,0.0,0.0,0.0,0.0
ev_001265,4.8158063888549805,2.798243761062622,2.8849246501922607,4.8158063888549805,2.798243761062622,2.8849246501922607,0.0,0.0,0.0,0.0
ev_001266,5.138457298278809,6.94704008102417,7.148431301116943,8.001091957092285,4.539791107177734,12.12298583984375,-2.8626346588134766,2.4072489738464355,-4.974554538726807,-5.429939270019531
ev_001267,0.7673836946487427,4.562459945678711,10.652373313903809,0.7673836946487427,4.562459945678711,10.652373313903809,0.0,0.0,0.0,0.0
ev_001268,8.940751075744629,0.516257107257843,13.636528968811035,8.940751075744629,0.516257107257843,13.636528968811035,0.0,0.0,0.0,0.0
ev_001269,5.067801475524902,0.6069465279579163,5.984013557434082,4.9423065185546875,1.800302505493164,9.081856727600098,0.12549495697021484,-1.1933560371398926,-3.0978431701660156,-4.165703773498535
ev_001270,4.599747657775879,3.055793523788452,5.3400468826293945,2.817554473876953,3.5782811641693115,0.9331485033035278,1.7821931838989258,-0.5224876403808594,4.406898498535156,5.666604042053223
ev_001271,5.349048137664795,3.2525691986083984,95.51801300048828,5.349048137664795,3.2525691986083984,6.265803813934326,0.0,0.0,89.25221252441406,89.25220489501953
ev_001272,6.644317626953125,2.9947023391723633,101.66183471679688,6.644317626953125,2.9947023391723633,101.66183471679688,0.0,0.0,0.0,0.0
ev_001273,7.159049034118652,0.2750151455402374,23.43973159790039,7.159049034118652,0.2750151455402374,23.43973159790039,0.0,0.0,0.0,0.0
ev_001274,2.252389669418335,3.7724709510803223,12.139729499816895,2.1119906902313232,0.6626526117324829,9.803998947143555,0.14039897918701172,3.109818458557129,2.33573055267334,5.585947036743164
